Term,Results
Davinci and ICG',0
Davinci firefly' and ICG,0
flonavi,0
ICG Fluorescence imaging',0
icg-view,0
IMAGE1 Rubina',0
'Indo-cynanine green’ and robotic,0
Karl storz',0
Karl storz' and ICG,0
'Laparoscopic procedures’ and ‘ICG imaging’,0
Lymph node mapping using ICG imaging',0
Olympus and ICG,0
'Oxygenation’ and ‘ICG imaging’,0
PDE Neo II',0
Perfusion detection using ICG imaging',0
Richard Wolf',0
Richard Wolf' and ICG,0
Risk and 'adverse events of ICG imaging',0
'Robotic surgery’ and ‘ICG imaging’,0
Rubina and ICG,0
SPY Elite',0
'Study design’ and ‘ICG imaging’,0
Visera Elite II' and ICG,0
vitom and ICG,0
