Term,Results
Davinci and ICG',https://clinicaltrials.gov/ct2/results?cond=&term=%27Davinci+and+ICG%27&type=&rslt=With&age_v=&age=1&age=2&gndr=&intr=&titles=&outc=&spons=&lead=&id=&cntry=&state=&city=&dist=&locn=&rsub=&strd_s=&strd_e=&prcd_s=&prcd_e=&sfpd_s=&sfpd_e=&rfpd_s=10%2F07%2F2016&rfpd_e=10%2F07%2F2021&lupd_s=&lupd_e=&sort=
Davinci firefly' and ICG,https://clinicaltrials.gov/ct2/results?cond=&term=%27Davinci+firefly%27+and+ICG&rfpd_s=10%2F07%2F2016&rfpd_e=10%2F07%2F2021&cntry=&state=&city=&dist=&Search=Search&rslt=With&age=1&age=2
flonavi,https://clinicaltrials.gov/ct2/results?cond=&term=flonavi&rfpd_s=10%2F07%2F2016&rfpd_e=10%2F07%2F2021&cntry=&state=&city=&dist=&Search=Search&rslt=With&age=1&age=2
ICG Fluorescence imaging',https://clinicaltrials.gov/ct2/results?cond=&term=%27ICG+Fluorescence+imaging%27&rfpd_s=10%2F07%2F2016&rfpd_e=10%2F07%2F2021&cntry=&state=&city=&dist=&Search=Search&flds=aby&rslt=With&age=1&age=2
icg-view,https://clinicaltrials.gov/ct2/results?cond=&term=icg-view&rfpd_s=10%2F07%2F2016&rfpd_e=10%2F07%2F2021&cntry=&state=&city=&dist=&Search=Search&rslt=With&age=1&age=2
IMAGE1 Rubina',https://clinicaltrials.gov/ct2/results?cond=&term=%27IMAGE1+Rubina%27&rfpd_s=10%2F07%2F2016&rfpd_e=10%2F07%2F2021&cntry=&state=&city=&dist=&Search=Search&flds=aby&rslt=With&age=1&age=2
‘Indo-cynanine green’ and robotic,https://clinicaltrials.gov/ct2/results?cond=&term=%E2%80%98Indo-cynanine+green%E2%80%99+and+robotic&rfpd_s=10%2F07%2F2016&rfpd_e=10%2F07%2F2021&cntry=&state=&city=&dist=&Search=Search&flds=aby&rslt=With&age=1&age=2#
Karl storz',https://clinicaltrials.gov/ct2/results?cond=&term=%27Karl+storz%27&rfpd_s=10%2F07%2F2016&rfpd_e=10%2F07%2F2021&cntry=&state=&city=&dist=&Search=Search&flds=aby&rslt=With&age=1&age=2
Karl storz' and ICG,https://clinicaltrials.gov/ct2/results?cond=&term=%27Karl+storz%27+and+ICG&rfpd_s=10%2F07%2F2016&rfpd_e=10%2F07%2F2021&cntry=&state=&city=&dist=&Search=Search&rslt=With&age=1&age=2
‘Laparoscopic procedures’ and ‘ICG imaging’,https://clinicaltrials.gov/ct2/results?cond=&term=%E2%80%98Laparoscopic+procedures%E2%80%99+and+%E2%80%98ICG+imaging%E2%80%99&rfpd_s=10%2F07%2F2016&rfpd_e=10%2F07%2F2021&cntry=&state=&city=&dist=&Search=Search&flds=aby&rslt=With&age=1&age=2
