"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT02465099","Posterior Spinal Fusion With Two Energy Dissection Techniques",,"Terminated","Has Results","Scoliosis","Device: Ultrasonic Dissection (UD)|Device: Electrocautery Dissection (ED)","Estimated Intraoperative Blood Loss","Ethicon Endo-Surgery|Children's Hospital Medical Center, Cincinnati","All","10 Years to 21 Years   (Child, Adult)","Phase 4","64","Industry|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ENG 14-004","June 1, 2015","May 1, 2016","May 1, 2016","June 8, 2015","February 19, 2018","February 19, 2018","Valley Children's Hospital, Madera, California, United States|Nemours/Alfred I. duPont Hospital for Children, Wilmington, Delaware, United States|Shriners Hospital for Children - Chicago, Chicago, Illinois, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Shriners Hospitals for Children-Philadelphia, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT02465099"
2,"NCT02502526","Comparison of Centurion® Vision System With Balanced Tip and the Infiniti® Vision System With the Mini Flared Kelman (MFK) Tip During Cataract Extraction Surgery of Hard Lenses",,"Completed","Has Results","Cataracts","Device: Centurion® Vision System, 45° Balanced Tip|Device: Centurion® Vision System, 45° MFK Tip|Device: lnfiniti® Vision System, 45° MFK Tip|Device: INTREPID® Ultra infusion sleeve|Device: Ultra infusion sleeve","Cumulative Dissipated Energy (CDE)|Balanced Salt Solution (BSS) Fluid Used","Alcon Research","All","21 Years and older   (Adult, Older Adult)","Not Applicable","231","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","CTU424-P001","July 27, 2015","March 23, 2017","November 30, 2017","July 20, 2015","April 18, 2018","July 2, 2018",,"""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/26/NCT02502526/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/26/NCT02502526/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02502526"
3,"NCT01998737","Point-of-care Osteoporosis Diagnostics With Bindex® Pocket Size Instrument and FRAX",,"Completed","Has Results","Osteoporosis",,"Sensitivity of the Density Index Against Dual Energy X-ray Absorptiometry for Detecting Osteoporosis|Specificity of the Density Index Against Dual Energy X-ray Absorptiometry for Detecting Osteoporosis|Number of Participants That Would Require Additional DXA Examination to Confirm Diagnosis","Bone Index Finland Ltd|Merck Sharp & Dohme Corp.","Female","50 Years to 79 Years   (Adult, Older Adult)",,"1011","Industry","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","Bind03|BoneIndex03","November 2013","March 2016","March 2016","December 2, 2013","August 11, 2017","September 21, 2017","Terveystalo Kamppi, Helsinki, Finland|Terveystalo Jyväskylä, Jyväskylä, Finland|Terveystalo Kouvola, Kouvola, Finland|Kuopio University Hospital, Kuopio, Finland|Terveystalo Lahti, Lahti, Finland|Terveystalo Mikkeli Marski, Mikkeli, Finland",,"https://ClinicalTrials.gov/show/NCT01998737"
4,"NCT02917642","Effect of Passive Ultrasonic Irrigation on the Reduction of Bacteria and Endotoxins in Root Canals",,"Completed","Has Results","Tooth, Nonvital","Device: Ultrasonic Irrigation|Device: Non-Ultrasonic Irrigation","Bacterial Levels|Endotoxin Levels","University of Sao Paulo","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","66","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","FAPESP2013/02923-9","January 2014","July 2016","December 2016","September 28, 2016","July 3, 2018","July 3, 2018",,"""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/42/NCT02917642/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02917642"
5,"NCT03351335","Open-label, Prospective Evaluation of the Ulthera® System for Lifting Submental (Under the Chin) and Neck Tissue in Chinese Patients","ULT-302","Completed","Has Results","Mild to Moderate Skin Laxity Under the Chin|Mild to Moderate Skin Laxity on Neck","Device: Microfocused ultrasound with visualization","Mean Change From Baseline in Overall Lifting and Tightening of Submental (Under the Chin) and Neck Tissue Area at Day 90 Post-treatment|Number of Participants With Improvement From Baseline in Overall Lifting and Tightening of Submental (Under the Chin) and Neck Tissue Area as Assessed by Physician Global Aesthetic Improvement Scale (PGAIS) Scores at Day 90 Post-treatment|Number of Participants With Improvement From Baseline in Overall Lifting and Tightening of Submental (Under the Chin) and Neck Tissue Area as Assessed by Subject Global Aesthetic Improvement Scale (SGAIS) at Day 90 Post-treatment|Number of Participants With Improvement From Baseline in Overall Lifting and Tightening of Submental (Under the Chin) and Neck Tissue Area as Assessed by a Masked, Qualitative Assessment of Photographs at Day 90 Post-treatment|Number of Participants With Satisfaction Responses as Assessed by Patient Satisfaction Questionnaire (PSQ) at Day 90 Post-treatment","Merz North America, Inc.|Ulthera, Inc","All","35 Years to 65 Years   (Adult, Older Adult)","Not Applicable","60","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","M960001052","August 10, 2017","August 9, 2018","August 9, 2018","November 22, 2017","August 28, 2019","August 28, 2019","Merz Investigational Site # 0010411, Los Gatos, California, United States|Merz Investigational Site # 0010321, San Diego, California, United States|Merz Investigational Site # 0010358, Vista, California, United States|Merz Investigational Site # 0010410, Austin, Texas, United States|Merz Investigational Site # 0010422, Bellaire, Texas, United States|Merz Investigational Site # 0010423, Houston, Texas, United States|Merz Investigational Site # 0010125, Plano, Texas, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/35/NCT03351335/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/35/NCT03351335/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03351335"
6,"NCT04633642","Ultrasound Assisted Wound Debridement (UAW) Versus Standard Wound Treatment in Complicated Diabetic Foot Ulcers (DFU)",,"Completed","Has Results","Diabetic Foot Ulcer","Procedure: Ultrasound group|Procedure: Surgical group","Change From Baseline Neo-angiogenesis (Microvessel Density) at 6 Weeks|Change From Baseline Collagen Formation (Collagen Content ) at 6 Weeks|Change From Baseline Myofibroblasts Formation (Myofibroblasts Content) at 6 Weeks|Comparison of Quantitative Microbiological Analysis (Bacterial Counts Expressed Colony-forming Units Per Gram of Tissue) (CFU/g)|Wound Score at 6 Weeks|Wound Size","Universidad Complutense de Madrid|Francisco Javier Álvaro Afonso|David Sevillano Fernández|Yolanda García Álvarez|Irene Sanz Corbalan|Esther García Morales","All","18 Years and older   (Adult, Older Adult)","Not Applicable","51","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","C.P. - C.I. 16/484-P","November 1, 2017","November 1, 2018","December 31, 2019","November 18, 2020","July 14, 2021","July 14, 2021","Fancisco Javier Álvaro Afonso, Madrid, Spain|José Luis Lázaro Martínez, Madrid, Spain","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/42/NCT04633642/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT04633642"
7,"NCT04780919","Ultrasound-Monitored Changes in Achilles Tendinopathy After Extracorporeal Shock Wave Therapy",,"Completed","Has Results","Achilles Tendinopathy","Device: BTL-6000 FSWT|Device: BTL-6000 FSWT with sham applicator","Change in Cross-sectional Area at the Place of Maximum Tendon Width|Change in Maximum Pain in the Achilles Tendon Area|Change in Maximum Pain in the Achilles Tendon Area (Follow up)|Change of Ankle Dorsiflexion Range of Motion|Number of Participants With Hypoechogenic Areas|Number of Participants With Increased Thickness of Achilles Tendon|Change in VISA-A Questionnaire Score|Change in Single Leg Heel Rise Test|Change in Single Leg Hop Test","University Hospital, Motol","All","Child, Adult, Older Adult","Not Applicable","18","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","EK- 1/21","February 1, 2021","April 2, 2021","April 2, 2021","March 4, 2021","June 2, 2021","June 28, 2021","University Hospital Motol and 2nd Faculty of Medicine, Charles University, Prague, Czechia","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/19/NCT04780919/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT04780919"
8,"NCT02204124","Whipple Procedure: Standard of Care vs. Thunderbeat",,"Terminated","Has Results","Pancreatic Neoplasms|Bile Duct Carcinoma","Device: Thunderbeat|Device: Standard of care scissors, ligatures, clips, and sutures","Operative Blood Loss|Post-op Morbidity|Operative Time|Cost Using Thunderbeat Device|Anesthesia Time|Number of Participants Who Experienced Perioperative Complications|Number of Participants Who Experienced Postoperative Complications","Washington University School of Medicine","All","22 Years to 75 Years   (Adult, Older Adult)","Not Applicable","44","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","201311146","January 1, 2015","August 23, 2017","August 23, 2017","July 30, 2014","September 19, 2018","September 19, 2018","Washington University School of Medicine, Saint Louis, Missouri, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/24/NCT02204124/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02204124"
9,"NCT02736825","Simulines Non-Inferiority Pivotal Study",,"Terminated","Has Results","Skin Laxity","Device: Ulthera System with standard transducer|Device: Ulthera System with prototype 2 simulines transducer","Number of Participants Who Achieved Greater Than or Equal to (>=) 20 mm^2 Reduction in Submental Area at Day 90|Number of Participants Who Achieved >=20 mm^2 Reduction in Submental Area at Day 180|Number of Participants Who Achieved >=20 mm^2 Reduction in Submental Area at Day 365|Number of Participants Who Showed Improvement in Overall Lifting and Tightening of Skin at Day 90|Number of Participants Who Showed Improvement in Overall Lifting and Tightening of Skin at Day 180|Number of Participants Who Showed Improvement in Overall Lifting and Tightening of Skin at Day 365|Percent Change From Baseline in Volume as Assessed by Quantificare 3 D Imaging System at Day 90|Percent Change From Baseline in Volume as Assessed by Quantificare 3D Imaging System at Day 180|Percent Change From Baseline in Volume as Assessed by Quantificare 3D Imaging System at Day 365|Number of Participants With Some Level of Improvement and Satisfaction on Day 90|Mean Treatment Times|Mean Pain Scores to Assess Participant's Treatment Related Comfort Level Based on Numeric Rating Scale (NRS)|Number of Participants With Overall Aesthetic Improvement as Assessed by Subject Global Aesthetic Improvement Scale (SGAIS) at Day 90|Number of Participants With Overall Aesthetic Improvement as Assessed by SGAIS at Day 180|Number of Participants With Overall Aesthetic Improvement as Assessed by SGAIS at Day 365|Number of Participants With Overall Aesthetic Improvement as Assessed by Clinician Global Aesthetic Improvement Scale (CGAIS) at Day 90|Number of Participants With Overall Aesthetic Improvement as Assessed by CGAIS at Day 180|Number of Participants With Overall Aesthetic Improvement as Assessed by CGAIS at Day 365","Ulthera, Inc|Merz North America, Inc.","All","30 Years to 70 Years   (Adult, Older Adult)","Not Applicable","262","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","ULT-146","April 11, 2016","January 20, 2017","April 25, 2017","April 13, 2016","February 19, 2020","February 19, 2020","Clinical Testing of Beverly Hills, Beverly Hills, California, United States|Roseville Facial Plastic Surgery, Roseville, California, United States|Laser and Skin Surgery Center, Sacramento, California, United States|Dermatology Cosmetic Laser Medical Associates of La Jolla, San Diego, California, United States|AboutSkin Dermatology, Greenwood Village, Colorado, United States|Maryland Laser Skin and Vein Dermatology, Cockeysville, Maryland, United States|Wilmington Dermatology Center, Wilmington, North Carolina, United States|Premier Clinical Research, Spokane, Washington, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/25/NCT02736825/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02736825"
10,"NCT02351271","Cataract Surgery: Femto LDV Z8 Versus Conventional","COMFORT","Completed","Has Results","Cataract","Device: Femto LDV Z8|Device: Manual capsulorhexis&lens fragmentation","Effective Phaco Time (EPT)|Ease of Phacoemulsification|Number of Participants With Complete Treatment Pattern","Ziemer Ophthalmic Systems AG","All","50 Years and older   (Adult, Older Adult)","Not Applicable","130","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FL5940-0996","February 2015","December 28, 2016","February 28, 2017","January 30, 2015","October 23, 2019","October 23, 2019",,,"https://ClinicalTrials.gov/show/NCT02351271"
